id,left,top,right,bottom,GSA,depth_mean,depth_stde,depth_min,depth_max,n_km2,X,Y,n_particles,Sin,Sout,nsry,spwn
812,15.55000013,42.35,15.65000013,42.25,17,124.258214054008,5.84288689277736,113.300003051758,139.199996948242,772.646935909524,15.6,42.3,669.7894736842092,480.1500000000004,662.1,821.1904761904761,663.9047619047606
813,15.65000013,42.35,15.75000013,42.25,17,120.978683918715,6.15802571688514,108.150001525879,133.399993896484,658.564781380952,15.7,42.3,1002.2631578947368,850.8999999999978,555.1999999999999,720.6666666666666,909.8095238095216
814,15.75000013,42.35,15.85000013,42.25,17,119.343424529665,6.33492343036983,107.050003051758,131.5,587.13860547619,15.8,42.3,1150.8947368421018,1034.849999999998,567.1500000000001,647.2380952380952,1076.0952380952356
815,15.85000013,42.35,15.95000013,42.25,17,123.084961047603,4.76714183132881,113.300003051758,130.300003051758,641.365026157143,15.9,42.3,593.6842105263149,532.4500000000003,669.25,705.1904761904761,550.1428571428564
816,15.95000013,42.35,16.05000013,42.25,17,128.261544599301,3.47070016311803,119.0,136.199295043945,805.348644876191,16.0,42.3,391.42105263157714,315.8000000000005,870.45,858.4285714285713,383.666666666666
817,16.05000013,42.35,16.15000013,42.25,17,126.796936680873,6.89147449243817,93.0268020629883,144.699417114258,903.897005290476,16.1,42.3,726.9999999999997,610.1999999999989,918.9,959.0952380952381,676.6666666666648
818,16.15000013,42.35,16.25000013,42.25,17,127.090911115209,8.29845955762084,105.286445617676,145.236572265625,921.340298980952,16.2,42.3,274.6315789473683,219.7500000000005,1038.65,976.952380952381,250.90476190476164
819,16.25000013,42.35,16.35000013,42.25,17,134.923485436373,6.55356411839053,107.229965209961,146.812393188477,846.596065538095,16.3,42.3,615.736842105263,573.9499999999988,918.5,871.6666666666665,586.714285714283
820,16.35000013,42.35,16.45000013,42.25,17,150.491649250189,7.10501732648109,134.788604736328,164.078338623047,877.519823642857,16.4,42.3,303.68421052631385,252.95000000000047,1000.1,910.9047619047619,285.9047619047613
821,16.45000013,42.35,16.55000013,42.25,17,167.2998032603,8.27458150988615,151.5,187.696151733398,951.865525838095,16.5,42.3,1047.6315789473651,653.1499999999982,720.8,1013.8571428571429,970.1904761904732
822,16.55000013,42.35,16.65000013,42.25,17,189.408822968602,9.23743965875478,166.649993896484,206.050003051758,1075.61907451905,16.6,42.3,1329.10526315789,1025.1499999999985,867.1999999999999,1161.7619047619048,1264.7619047618996
823,16.65000013,42.35,16.75000013,42.25,17,214.397124571933,7.44383964492979,193.25,231.699996948242,1130.65336074762,16.7,42.3,1103.0526315789443,748.4999999999986,862.0999999999999,1181.6190476190477,1066.1904761904718
824,16.75000013,42.35,16.85000013,42.25,17,259.07364903556,35.9174493113371,218.0,392.899993896484,822.845495809524,16.8,42.3,257.84210526315866,199.60000000000025,732.6,721.2380952380952,226.19047619047606
825,16.85000013,42.35,16.95000013,42.25,17,523.208656264676,87.8415307243167,276.450012207031,677.049987792969,0.26800110952381,16.9,42.3,176.36842105263182,163.34999999999997,0.0,0.0,153.38095238095246
826,16.95000013,42.35,17.05000013,42.25,17,721.755053725508,53.5306897704639,561.5,824.349975585938,0.0,17.0,42.3,160.1052631578951,160.24999999999997,0.0,0.0,141.80952380952397
827,18.15000013,42.35,18.25000013,42.25,18,678.958404388693,149.475388399174,311.127899169922,940.831237792969,0.0,18.2,42.3,381.3684210526293,361.1500000000012,0.0,0.0,326.90476190476153
828,18.25000013,42.35,18.35000013,42.25,18,365.763006014956,119.238886351851,235.651809692383,773.549987792969,286.630585726667,18.3,42.3,532.578947368419,495.15000000000106,219.15,183.76190476190473,456.23809523809456
829,18.35000013,42.35,18.45000013,42.25,18,220.382132915987,41.8311334635364,127.446571350098,306.084869384766,2252.03672280476,18.4,42.3,852.4736842105249,733.4499999999981,1968.05,1963.9047619047622,749.9999999999984
830,18.45000013,42.35,18.55000013,42.25,18,147.766291994188,30.1609727821678,104.650001525879,208.600006103516,1621.61015184286,18.5,42.3,3068.9473684210543,2465.750000000008,1011.85,1618.9523809523807,3159.61904761906
831,18.55000013,42.35,18.65000013,42.25,18,114.260549188488,9.9111280487291,57.0729293823242,148.59375,1496.05566284286,18.6,42.3,1117.368421052627,773.0999999999981,1120.4,1430.4285714285716,1081.3809523809507
832,18.65000013,42.35,18.75000013,42.25,18,64.8784394085459,42.4493450570492,0.0,144.800003051758,1382.37172059048,18.7,42.3,1083.9999999999984,430.9500000000006,664.8999999999999,1310.2380952380952,1040.9047619047612
833,14.65000013,42.25,14.75000013,42.15,17,16.0143262950975,10.9351980628083,0.0,45.2000007629395,25.9793030461905,14.7,42.2,49.94736842105264,42.64999999999999,0.0,0.0,50.90476190476196
834,14.75000013,42.25,14.85000013,42.15,17,36.5725748483092,14.1568179349325,11.25,70.8000030517578,298.850496227619,14.8,42.2,262.78947368421024,94.5,199.8,314.4761904761904,240.9047619047618
835,14.85000013,42.25,14.95000013,42.15,17,60.9296332933009,14.1988074504597,25.3500003814697,86.8000030517578,722.4946552,14.9,42.2,373.3684210526312,173.95000000000005,540.95,764.3333333333333,370.3809523809521
836,14.95000013,42.25,15.05000013,42.15,17,79.6835341503223,8.98884199703932,52.5,97.0,876.14348897619,15.0,42.2,603.2631578947369,425.2500000000001,806.9499999999999,929.1428571428571,603.0952380952374
837,15.05000013,42.25,15.15000013,42.15,17,92.1262045403322,6.51646500800163,73.9499969482422,106.300003051758,916.035331147619,15.1,42.2,630.7894736842107,493.0000000000005,884.4499999999999,985.3809523809524,655.4285714285704
838,15.15000013,42.25,15.25000013,42.15,17,101.603998577429,6.036852388861,87.0500030517578,114.949996948242,932.839917090476,15.2,42.2,689.0526315789475,539.55,894.0,1011.9047619047619,698.7619047619038
839,15.25000013,42.25,15.35000013,42.15,17,108.672021549609,5.47311835936062,95.5999984741211,118.5,932.902824780952,15.3,42.2,522.2105263157883,367.1000000000007,944.0,1012.6190476190476,525.0476190476184
840,15.35000013,42.25,15.45000013,42.15,17,111.245828054017,5.46984877713109,100.449996948242,120.5,882.909848419048,15.4,42.2,692.2631578947364,476.6000000000007,825.45,941.1904761904763,696.2380952380947
841,15.45000013,42.25,15.55000013,42.15,17,110.603135949208,4.74977207287384,97.5500030517578,118.849998474121,800.478711895238,15.5,42.2,713.0526315789468,592.6999999999991,764.1,845.6190476190475,713.1428571428559
